country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20.9,,,,,,,,2.9,,,,,,,,,,,,,2.04,2.61,,1.61,1.97,2.14,1.56,2.71,3.29,3.58,3.34,3.38,7.3
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,5.41,6.08,6.8,7.58,,7.18,6.88,7.46,6.65,6.84,6.29,6.35,5.5,6.52,,5.22,5.47,5.4,5.09,6.52,8.94,10,9.66,9.39,11.3
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,12.5,13.4,11.3,,,19,,,15.7,,11.9,,,,,,8.75,,,,,,8.69,9.43,,,10.3,10.8,8.72,7.18,7.57,7.43,7.05,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,,,6.55,5.46,5.27,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,2.11,2.49,1.41,2.19,2.2,1.6,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,,,,,,10.2,,,,,17.4,,,,,,,,,,15,,,13.8,15.4,,,,,,,,,20.9,22
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29,6.03,6.44,5.78,5.76,5.96,8.9,9.95,9.77,9.11,8.29,7.74,6.91,6.82,7.35,9.25,10,10.3,9.35,8.5,8.64,7.83,7.06,6.43,5.75,6.18,6.57,6.44,6.01,5.76,5.3,5.06,5.09,7.13,6.92,6.26,6.04,5.87,5.75,5.83,5.96,5.41,4.92,4.71,7.75
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.6,2.58,3.25,3.53,3.02,3.62,4.09,3.32,2.67,2.25,2.06,2.65,3.66,3.98,3.85,3.53,3.15,2.87,3.67,4.54,4.06,4.12,4.46,4.63,4.37,4.72,4.65,4.53,4.07,4.6
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,,6.7,,4.39,3.53,4.23,3.94,3.27,3.3,4.59,3.49,5.29,5.18,5.48,8.87,8.23,8.44,8.14,7.75,8.33,7.53,7.36,6.64,7.27,9.36,7.39,6.21,5.71,5.31,5.75,5.94,6.29,6.57,6.89,7.04,10.8
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.71,3.92,,,2.49,3.11,,,
