country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26,,,6.4,,,,,,,,,,,,9.44,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,,,,2.43,,3.59,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,16.1,,,,,,,,,,,,,14.5,16,13.1,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,2.98,2.57,2.43,2.65,2.59,3.07,2.6,2.74,2.85,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,,,,,,,,,30.4,,,,,22.9,,,,,,21,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,13,12.8,15.4,15.6,12.8,11.1,9.78,7.92,5.36,3.97,5.2,12.7,16.7,14.3,12.6,11,9.92,8.63,7.39,6.63,5.55,5.78,7.4
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,1.94,2.15,1.84,1.94,1.46,1.29,1.37,1.29,1.79,2.11,2.99,2.5,2.7,2.07,2.51,1.99,2.01,1.42,2.36,3.2,4.44,3.91,4.1,3.37,4.17,4.22,3.91,4.29,4.47,5.33,4.87,5.83,5.33,4.9,5.04,4.7,5.7
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,13.8,13.1,13.2,14.1,12.8,13,11.2,10.7,9.53,6.16,5.71,7.36,16.2,18,14.8,13.7,11.1,10.3,9.54,9.29,8.25,7.16,5.93,7.94
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87,2.62,3.89,5.61,6.4,6.11,5.73,5.33,4.27,3.57,3.4,2.65,2.54,2.83,2.35,2.06,1.52,1.5,1.29,1.6,1.66,1.71,1.54,1.41,2.12
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,12.3,,11.1,10.3,11,10,10.3,8.22,,7.66,,,7.8,7.86,7.16,,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.47,,,,,,,,,,,,,,,,5.64,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26,7.37,7.49,6.64,6.75,4.34,3.38,5.74,6.7,6.24,5.27,4.79,3.68,4.54,4.04,4,4.03,5.1,3.62
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,1.39,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75,,,,,2.3,,3.82,,,3.53,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,2.31,2.48,3.3,5.38,3.98,3.09,2.73,2.14,1.79,1.95,2.26,2.6,2.95,2.81,2.82,2.87,3.09,4.48,4.47,4.32,4.07,4.17,4.08,3.68,3.35,2.95,2.82,3.01,4.13
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.41,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,33.7,,,33.3,32.3,31,29.6,29.7,28.8,29,26.9,25.9,24.6,22.2,20.7,18.9,16.5,16.2
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.74,,,5.61,5.92,3.92,1.34,3.8,1.62,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.91,4.06,4.8,4.91,4.51,4.95,5.14,5.1,4.9,5.3,5.91,5.45,4.96,4.96,4.6,4.31,3.89,3.24,2.91,3.18,3.59
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,1.02,0.69,0.3,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,19.1,19,17.1,16.4,17.1,15.9,15.2,15.5,17.5
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04,5.35,5.39,4.06,3.3,3.46,4.02,4.1,6.2,5.62,4.43,8.83,6.23
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84,,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.41,,,,,9.03,,,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.12
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03,,,,,,4.97,4.54,3.7,5.29,6.95,6.96,6.16,5.57,5.68,5.79,5.67,5.46,5.63,5.29,5.18,4.93,4.88,4.41,4.84,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,1.69,,5.35,,,,4.39,,,1.2
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.59,1.89,1.61,1.53,1.5,1.67,1.51,1.61,2.08,,1.79,1.78,3.07
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,,,,,,17.4,,14.5,16.7,15.9,,20.3,,18.8,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,0.29,1.79,,0.45,,,6.82,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,,,,,,,,,,,,,,,,,,,,,,,,,3.17,,3.32,,,,,,7.1,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.68,,,,,,,,,,,,3.68,,,,,4.46,,,,,,4.63,,3.68,,,,,,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,,,,,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48,,4.67,,,,9.84,,9.2,,8.22,8.4,7.94,7.16,6.55,5.16,5.56,6.58,6.4,5.62,4.82,3.7,2.95,2.28,1.7,2.18,3.11,4.05,4.79,4.01,3.03,2.48,3.19,3.81,3.94,4.63,6.04,6.18,5.6,4.62,3.7,2.82,2.57,2.89
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.05,,11.3,12.2,11,,,13.2,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.77,2.34,1.85,1.22,1.47,2.21,3.75,4.32,4.34,4.8,5,4.46,4.39,3.44,3.19,2.27,1.9,2.39,2.51,2.86,3.42,3.26,3.71,2.92,1.91,1.92,2.41,2.96,2.7,2.58,2.88,3.29,4,4.29,3.72,3.41,3.15,3.85
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,,,,,,,,,9.62,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,,,,,,,,,,9.38,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96,2.95,4.24,5.45,6.2,8.45,8.58,7.97,6.79,5.23,5.06,5.49,6.36,5.68,4.66,4.21,4.12,3.62,2.98,2.77,2.72,2.58,2.95,4.41,4.92,4.91,5.34,4.47,4.25,4.14,3.95,3.57,3.28,3.04,3.54
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,,,,2.22
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,,0.84,,,,,2.4,,3.29,2.77,,3.58,,4.27,,4.43,,0.46,0.26,0.22,0.34,0.44,0.5,,1.83,1.14,2.23,,,2.46,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,4.72,3.15,1.74,1.74,1.69,2.29,2.45,2.82,3.1,3.2,3.77,18.8
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.57,3.49,3.96,3.84,3.39,3.06,3.06,3.07,2.67,2.52,2.35,2.85,2.27,2.52,2.78,2.74,2.59,2.65,6.94
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41,,6.5,5.88,5.54,5.74,6.11,5.92,6.29,5.74,5.92,5.19,5.56,6.63,6.25,,2.36,,2.32,2.26,2.61,2.73,2.27,2.4,2.53,2.33,2.34,2.25,2.35,2.41,2.02,1.81,1.73,1.69,1.6,1.98
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54,,,,,2.66,,,,,,,,,,,,,,0.8,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,,,,,,,,,,1.5,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,12.7,12.8,11.7,10.8,10.1,8.98,10.7,14.2,15.9,17.4,16.9,16.8,15.7,12.2,8.35,6.08,6.92,8.29,8.24,8.76,9.04,7.91,6.64,5.4,4.22,3.35,2.89,2.78
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,15,12.9,11.8,,14.3,16.4,19.4,17.6,18.2,16.1,14.6,13,,12.9,14.6,14.9,15,,12.4,11.7,11.8,11.8,10.2,8.86,,10.5,10.5,9.06,9.89,9.91,9.86,10.6,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56,4.46,,,,,,,6.34,5.26,4.3,3.99,3.69,3.2,3.08,4.29,5.77,6.12,6.21,5.73,4.21,4.18,3.4,3.41,4.01,5.77,5.8,7.24,7.33,7.75,7.22,9.24,10.7,11.9,14.7,15.5,12.7,11.2,10,7.88,6.13,5.66,5.98
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07,3.22,,,,2.85,3.62,,4.48,6.97,4.58,4.79,3.15,3.43,2.85,2.79,3.35,2.62,2.62,2.37,3.03,3.56,2.94,3.66,3.03,4.14,4.6,5.67
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,19.3,25.2,20.1,20.3,17.2,16.5,15,19.2,16.9,17.5,13.9,14.9,15.1,16.4,19.3,20.1,21.3,22.6,22.4,23.1
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.51,,,,,7.74,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,0.33,0.18,0.17,,0.47,0.31,0.16,0.12,0.11,0.11,0.09,,,0.1
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,26.3,,,,20.8,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48,,,6.8,5.17,4.51,4.93,5.85,6.87,6.26,7.31,6.2,6.37,6.36,6.44,5.6,4.99,6.06,6.25,6.3,6.05,6.37,6.12,6.16,5.3,4.21,3.57,3.19,4.41
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,4.65,6.93,8.11,8.28,10.3,11.4,11.6,9.22,7.8,6.92,7.05,6.54,6.14,6.03,5.09,5.23,7.12,6.3,5.61,4.57,4.67,4.42,4.77,4.8,4.48,4.16,3.97,5.17
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,1.08,,,16,13.8,14.2,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,2.13,2.15,2.56,,,,3.11,3.36,2.84,3.39,,3.92,3.85,3.87,4.04,4.23,4.53,,4.78,,6.14
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,,,,,,,,,10.3,,,,7.13,4.36,3.79,,2.9,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,3.4,5.86,4.21,2.96,1.87,,1.88,2.42,2.32,2.26,2.81,2.78,2.08,2.86,4.24,,3.35,5.08,5.64,5.36,,3.94,3.33,3.41,5.12,3.58,3.34,3.11,3.35,3.32,3.09,3.6,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35,5.67,5.36,,,,,,,,4.57,4.8,,5.53,3.86,3.55,2.86,2.7,3.05,3.1,3.44,3.37,3.16,3.25,0.03
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52,3.94,,,,,6.75,5.86,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.6,17.2,13.2,15.6,18.8,22.5,23.4,22.1,18.7,17.1,15.5,13.7,12.8,10.4,8.99
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.88,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66,,,,11.2,,,,,7.3,,,,,7.3,6.56,5.88,6.68,4.65,5.9,6.84,5.25,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,9.51,9.87,10.3,13,15.9,16.1,15.4,14.7,16.5,14.5,11.9,10.2,8.71,10.8,12.8,12.1,12.4,12.8,12,10.5,8.66,7.59,6.12,5.25,6.24
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,6.71,5.71,5.34,5.24,6.25,6.07,5.85,4.58,5.17,5.73,5.35,5.64,5.42,4.45,3.71,5.35,6.98,7.79,8.26,9.68,9.3,8.66,7.74,6.27,4.92,4.18,4.58
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,1.11,,,,,,2.21,2.42,2.13,1.94,1.66,1.61,,1.13,1.27,2.52,4.77,7.88,8.11,7.67,8.22,9.11,8.39,6.7,4.95,3.69,3.92,4.46,5.3,5.98,5.3,4.41,4.31,6.19,6.46,5.75,5.92,6.07,5.98,5.79,5.49,5.37,5.16,5.35,6.76
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,19.4,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15,,,,,,,,,2.77,,,2.29,2.68,2.9,2.7,2.42,2.43,2.68
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,6.89,,,,5.38,,6.31,5.82,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.64,,,,,1.8,,,,1.96,,3.33,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,0.29,0.44,0.56,,1.97,,3.14,,,4.12,2.1,0.93,1.35,,,,1.24,,0.94,0.82,3.28,2.69,2.23,1.61,,0.9,1,0.8,0.69,0.68,0.67,0.98,0.41,0.39,0.33,0.15,0.32,0.37,0.41,0.53,0.49,0.42,0.82
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,,,10.1,,,2.9,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,17.2,17.3,15.7,14.6,,16.8,,13.8,13.2,,11.1,10,9.18,,8.02,,,5.75,4.68,4.14,3.43,4.26,3.12,2.75,3.15,2.37,2.25,2.16,2.81,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,,,,,,,9.96,9.75,9.62,9.73,10.7,10.6,14.9,14.3,13.6,,13.6,13.8,13.6,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69,5.64,5.41,5.65,5.8,6,6.18,5.16,4.57,4.64,4.93,5.85,4.91,6.7,8.66,8.69,9.04,9,7.4,7.44,8.27,11.1,9.37,7.68,7.18,7.61,8.73,9.01,9.69,9.47,9.65,12.2,11.8
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67,,,,
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.46,0.54,0.6,1.12,1.58,1.42,1.76,1.67,1.15,1,0.95,1.08,0.98,1,0.93,1.1,1.32,2.05,2.2,2.11,2.38,2.45,3.96,4.48,4.32,3.81,3.53,3.39,3.45,3.65,5.41,4.86,3.97,3.79,3.71,3.55,3.43,3.54,3.38,3.32,3.28,3.45
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,,,2.31,,,,,2.23,0.27,2.01,1.73,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,3.03,1.65,,,,7.94,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.12,6.63,,,,8.36,7.59,7.12,6.94,6.69,8.36,8.47,8.7,9.31,8.72,7.97,9.25
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.45,,,,,,4.78,5.36,5.56,4.93,5.44,6.64,,,6.26,7.25,8.87,10.9,12.7,12.8,9.41,9.18,7.84,6.8,5.64,5.65,4.93,4.42,4.58,4.37,4.61,5.14,5.42,5.49,5.78,6.1,7.43
USA,2.8,4.7,4.3,2.7,2.4,2.3,4.7,3.5,3.3,3.4,5.8,4.4,4.5,5.4,4.4,4.3,3.8,3.2,2.6,2.7,2.3,2.3,3.4,4.2,3.7,3.2,3.8,6.4,5.7,5.1,4.3,4.2,5.5,5.8,7.9,8,6.1,5.8,5.7,5,4.5,4.2,4.6,5.7,6.4,5.8,4.98,4.5,4.32,3.93,3.5,3.2,3.06,3.77,4.81,5.02,4.55,4.14,3.76,3.74,4.82,8.29,8.61,7.93,7.02,6.31,5.23,4.46,4.15,3.75,3.27,3.08,7.11
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,,,,,,,7.2,,,,9.07,7.36,6.16,5.18,5.12,6.06,5.92,5.59,,,,4.63,4.21,,,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,,,1.21,,1.24,0.64,0.6,0.59,0.78,0.71,1.15,1.13,1.14,0.74,1.47,1.91
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,,,3.51,1.27,,,,,,,,,6.28,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,,,,,0.65,,,,,3.36,7.08,,7.04,,,11.5,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,8.98,,,,,,,,,,,11.3,,,,10.3,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26.6,28.7,27.3,25,24.9,24.3,22.4,19.2,20.5,21.6,22,21.9,21.8,22.5,22.8,24.1,25,25,26.5,27.6
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.57,,,,,,,,,,8.49,,5.24,,,,,9.1,9.6,9.44,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,,3.4,,,,,3.12,,,,,,,4.57,,,4.53,,,,,14.5,
